value,depth,song position
   2037    Taylor Swift   illicit affairs                               35         18896110,11,2037
   2038    Rich Gang      Lifestyle                                     168        18845791,10,2038
   2039    6ix9ine        KOODA                                         84         18843269,11,2039
   2040    salem ilese    Mad at Disney                                 65         18827099,8,2040
   2041    Blueface       Outside (Better Days)                         71         18821524,11,2041
   2042    Ariana Grande  sweetener                                     54         18811267,10,2042
   2043    StaySolidRocky Party Girl (Remix)                            28         18807513,11,2043
   2044    King Von       Don't Play That                               58         18792844,9,2044
   2045    Billy CurringtonDo I Make You Wanna                           98         18785354,11,2045
   2046    Taylor Swift   Glitch                                        34         18763237,10,2046
   2047    French Montana Lockjaw                                       124        18732551,11,2047
   2048    Charli XCX     Boom Clap                                     150        18726898,0,2048
   2049    DaBaby         BLIND                                         75         18718355,11,2049
   2050    Rod Wave       Street Runner                                 56         18709432,10,2050
   2051    Lil Yachty     66                                            43         18693533,11,2051
   2052    Ellie Goulding Something In The Way You Move                 113        18661693,9,2052
   2053    Trippie Redd   Excitement                                    73         18647387,11,2053
   2054    Kendrick Lamar BLOOD.                                        41         18632267,10,2054
   2055    Sam Smith      Lay Me Down                                   139        18624082,11,2055
   2056    Labrinth       All For Us  from the HBO Original Series Euphoria62         18595768,8,2056
   2057    21 Savage      can't leave without it                        60         18562606,11,2057
   2058    Hugh Jackman   The Greatest Show                             70         18556293,10,2058
   2059    Camila Cabello Real Friends                                  57         18555307,11,2059
   2060    Sam Smith      To Die For                                    49         18548368,9,2060
   2061    David Guetta   Dangerous                                     146        18481348,11,2061
   2062    Paramore       Misery Business                               81         18464387,10,2062
   2063    Lil Uzi Vert   Do What I Want                                119        18462064,11,2063
   2064    Dan + Shay     I Should Probably Go To Bed                   80         18458727,7,2064
   2065    Erica Banks    Buss It                                       71         18450948,11,2065
   2066    Ella Henderson Ghost                                         162        18437871,10,2066
   2067    Mike WiLL Made It  Perfect Pint                              94         18433227,11,2067
   2068    Future         Rent Money                                    70         18396713,9,2068
   2069    SZA            Seek & Destroy                                20         18366062,11,2069
   2070    Drake          Madiba Riddim                                 41         18356345,10,2070
   2071    Musical Youth  Pass The Dutchie                              56         18330047,11,2071
   2072    Eminem         Kamikaze                                      35         18311576,8,2072
   2073    Big Sean       One Man Can Change The World                  157        18293853,11,2073
   2074    J. Cole        Change                                        49         18284328,10,2074
   2075    Jason Derulo   Get Ugly                                      100        18278894,11,2075
   2076    Vacations      Young                                         77         18274437,9,2076
   2077    6ix9ine        WAKA                                          44         18241409,11,2077
   2078    Ski Mask The Slump GodFoot Fungus                                   63         18237226,10,2078
   2079    Chance the RapperAngels                                        128        18223703,11,2079
   2080    Drake          4422                                          40         18168991,6,2080
   2081    BTS            MIC Drop                                      63         18143347,11,2081
   2082    Drake          Hours In Silence                              26         18112044,10,2082
   2083    blackbear      me & ur ghost                                 54         18093679,11,2083
   2084    The Weeknd     Hurt You                                      34         18067365,9,2084
   2085    David Guetta   Flames                                        79         18059504,11,2085
   2086    Lil Baby       Drip Too Hard                                 23         18058321,10,2086
   2087    Eminem         Walk On Water                                 47         18055579,11,2087
   2088    Lizzo          2 Be Loved (Am I Ready)                       63         18040969,8,2088
   2089    Lauv           Mean It                                       59         18036202,11,2089
   2090    Sam Fischer    This City                                     80         18025098,10,2090
   2091    Lil Yachty     Peek A Boo                                    75         18022397,11,2091
   2092    Vince Guaraldi TrioChristmas Time Is Here  Vocal  Album Version  36         18012931,9,2092
   2093    Drake          Jorja Interlude                               40         18011031,11,2093
   2094    SZA            Love Language                                 20         17998659,10,2094
   2095    Luke Bryan     Kick The Dust Up                              140        17993184,11,2095
   2096    BLACKPINK      Shut Down                                     42         17980146,7,2096
   2097    Drake          Pipe Down                                     30         17980104,11,2097
   2098    ScHoolboy Q    Numb Numb Juice                               50         17959624,10,2098
   2099    Bo Burnham     Bezos I                                       61         17903720,11,2099
   2100    Fifth Harmony  Sledgehammer                                  142        17887733,9,2100
   2101    OneRepublic    No Vacancy                                    72         17881652,11,2101
   2102    Jack Harlow    Churchill Downs                               46         17881468,10,2102
   2103    AJR            Sober Up                                      76         17877314,11,2103
   2104    Bo Burnham     All Eyes On Me                                52         17868891,8,2104
   2105    Ariana Grande  make up                                       29         17858261,11,2105
   2106    Katy Perry     This Is How We Do                             147        17852173,10,2106
   2107    Big Sean       Go Legend (& Metro Boomin)                    52         17814761,11,2107
   2108    Lil Nas X      SUN GOES DOWN                                 48         17803467,9,2108
   2109    Juice WRLD     Can't Die                                     41         17784467,11,2109
   2110    Billie Eilish  8                                             47         17767289,10,2110
   2111    Pia Mia        Do It Again                                   132        17766764,11,2111
   2112    Carpenters     Sleigh Ride                                   54         17722421,5,2112
   2113    Khalid         Suncity                                       40         17717966,11,2113
   2114    Harry Styles   Boyfriends                                    30         17684088,10,2114
   2115    San Holo       Light                                         75         17658328,11,2115
   2116    BIA            WHOLE LOTTA MONEY                             61         17653620,9,2116
   2117    AnnenMayKantereitTom's Diner                                   53         17646543,11,2117
   2118    ROSALÍA       TKN                                           57         17645848,10,2118
   2119    Bruno Mars     When I Was Your Man                           140        17626644,11,2119
   2120    The Weeknd     Is There Someone Else?                        37         17569511,8,2120
   2121    Lilly Wood and The PrickPrayer in C  Robin Schulz Radio Edit          189        17556823,11,2121
   2122    Polo G         No Return                                     54         17550180,10,2122
   2123    Justin Bieber  No Sense                                      81         17523675,11,2123
   2124    Imagine DragonsRadioactive                                   184        17498745,9,2124
   2125    Devin Dawson   All on Me                                     84         17485094,11,2125
   2126    Machine Gun KellyAt My Best                                    66         17475127,10,2126
   2127    Travis Scott   5% TINT                                       36         17465852,11,2127
   2128    Sech           Otro Trago  Remix                             66         17457336,7,2128
   2129    J Balvin       Qué Más Pues?                               65         17444058,11,2129
   2130    Judy Garland   "Have Yourself A Merry Little Christmas  ""Meet Me In St. Louis"" Original Cast Recording"63         17441109,10,2130
   2131    Migos          Having Our Way                                42         17390398,11,2131
   2132    WhoHeem        Lets Link                                     55         17381983,9,2132
   2133    Drake          Redemption                                    92         17377999,11,2133
   2134    MadeinTYO      Skateboard P                                  115        17340199,10,2134
   2135    Kevin Gates    Thinking with My Dick                         46         17331432,11,2135
   2136    Cardi B        Press                                         50         17286347,8,2136
   2137    Louis The ChildBetter Not                                    61         17286042,11,2137
   2138    Kodak Black    MoshPit                                       50         17261799,10,2138
   2139    Pierce The VeilKing For A Day                                66         17260539,11,2139
   2140    Trippie Redd   Matt Hardy 999                                51         17253898,9,2140
   2141    Post Malone    Myself                                        39         17234081,11,2141
   2142    Mark Ronson    Find U Again                                  57         17230369,10,2142
   2143    Drake          After Dark                                    31         17190733,11,2143
   2144    G              Eazy  Still Be Friends                        59         17157302,6,2144
   2145    Hearts & ColorsLighthouse  Andrelli Remix                    81         17148765,11,2145
   2146    Florida Georgia LineMay We All                                    108        17148561,10,2146
   2147    Lil Pump       D Rose                                        87         17120529,11,2147
   2148    Drake          U With Me?                                    83         17115152,9,2148
   2149    Imagine DragonsI Bet My Life                                 184        17059959,11,2149
   2150    Taylor Swift   Dear Reader                                   33         17046073,10,2150
   2151    Polo G         Be Something                                  62         17022409,11,2151
   2152    Old Dominion   Written in the Sand                           80         16980910,8,2152
   2153    J. Cole        The Cut Off                                   28         16959703,11,2153
   2154    Sam Smith      Latch  Acoustic                               195        16903209,10,2154
   2155    Drake          IMY2                                          30         16902311,11,2155
   2156    A Boogie Wit da HoodieTimeless (DJ SPINKING)                        89         16900014,9,2156
   2157    Chris Brown    Don't Check On Me                             43         16895123,11,2157
   2158    The Weeknd     Tell Your Friends                             101        16887588,10,2158
   2159    Galantis       Runaway (U & I)                               169        16883384,11,2159
   2160    J. Cole        BRACKETS                                      28         16861119,7,2160
   2161    Kygo           Happy Now                                     55         16851446,11,2161
   2162    Little Mix     Black Magic                                   125        16849559,10,2162
   2163    Lil Uzi Vert   Homecoming                                    30         16848480,11,2163
   2164    Justin TimberlakeFilthy                                        41         16835872,9,2164
   2165    Lil Durk       AHHH HA                                       54         16831203,11,2165
   2166    Lil Uzi Vert   Prices                                        35         16825502,10,2166
   2167    Black Eyed PeasMAMACITA                                      69         16822005,11,2167
   2168    Juice WRLD     Screw Juice                                   35         16804082,8,2168
   2169    Migos          BBO (Bad Bitches Only)                        44         16802143,11,2169
   2170    BoyWithUke     IDGAF                                         56         16790341,10,2170
   2171    Ariana Grande  MONOPOLY                                      33         16732639,11,2171
   2172    Nicki Minaj    Seeing Green                                  44         16686378,9,2172
   2173    Luke Bryan     Strip It Down                                 153        16661149,11,2173
   2174    SZA            Snooze                                        20         16647244,10,2174
   2175    Don Toliver    Had Enough                                    42         16631975,11,2175
   2176    Camila Cabello Don't Go Yet                                  60         16631003,4,2176
   2177    Taylor Swift   tolerate it                                   30         16627399,11,2177
   2178    NOTD           I Wanna Know                                  52         16594005,10,2178
   2179    Nicki Minaj    Barbie Dreams                                 44         16580826,11,2179
   2180    Kygo           "Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")"49         16580126,9,2180
   2181    SZA            Used                                          19         16571972,11,2181
   2182    MEDUZA         Paradise                                      70         16566408,10,2182
   2183    Bebe Rexha     Last Hurrah                                   49         16553712,11,2183
   2184    James Hersey   Miss You                                      89         16549334,8,2184
   2185    6ix9ine        GOTTI                                         69         16536981,11,2185
   2186    Summer Walker  Playing Games                                 50         16536108,10,2186
   2187    Lil Pump       Butterfly Doors                               45         16526019,11,2187
   2188    Adele          Rolling in the Deep                           89         16522159,9,2188
   2189    Drake          That’s How You Feel                         29         16516649,11,2189
   2190    Mac Miller     Blue World                                    29         16511989,10,2190
   2191    Lil Wayne      Can't Be Broken                               26         16493874,11,2191
   2192    Tyla Yaweh     Tommy Lee                                     35         16485030,7,2192
   2193    Thomas Rhett   On Me                                         69         16482685,11,2193
   2194    Quality ControlBaby                                          30         16467585,10,2194
   2195    Cashmere Cat   Miss You                                      60         16455638,11,2195
   2196    Trippie Redd   Holy Smokes                                   49         16440134,9,2196
   2197    Joji           Gimme Love                                    52         16402568,11,2197
   2198    Fivio Foreign  City of Gods                                  44         16384588,10,2198
   2199    Cashmere Cat   Quit                                          59         16347142,11,2199
   2200    Old Dominion   Snapback                                      129        16340612,8,2200
   2201    Pitbull        Fireball                                      160        16334533,11,2201
   2202    KREAM          Taped up Heart                                95         16323512,10,2202
   2203    A Boogie Wit da HoodieMan in the Mirror                             59         16315483,11,2203
   2204    TV Girl        Lovers Rock                                   64         16301804,9,2204
   2205    A R I Z O N A  Oceans Away                                   71         16298599,11,2205
   2206    O.T. Genasis   CoCo                                          126        16266386,10,2206
   2207    The ChainsmokersBreak Up Every Night                          55         16264640,11,2207
   2208    The ChainsmokersHope                                          40         16254986,6,2208
   2209    Future         Solo                                          58         16223596,11,2209
   2210    Drake          Jaded                                         27         16212119,10,2210
   2211    Michael JacksonThriller                                      42         16209752,11,2211
   2212    CNCO           Reggaetón Lento (Remix)                      84         16196903,9,2212
   2213    The Weeknd     Real Life                                     95         16193932,11,2213
   2214    SZA            Ghost in the Machine                          20         16157022,10,2214
   2215    Zedd           Get Low                                       69         16156995,11,2215
   2216    Young Thug     Digits                                        101        16156840,8,2216
   2217    Travis Scott   ESCAPE PLAN                                   30         16142919,11,2217
   2218    The Game       100                                           152        16091392,10,2218
   2219    Joji           Sanctuary                                     42         16087982,11,2219
   2220    Nelly Furtado  Promiscuous                                   74         16039327,9,2220
   2221    Bryson Tiller  Let Me Explain                                91         16039105,11,2221
   2222    Lil Uzi Vert   X                                             49         16028247,10,2222
   2223    Kid Cudi       Show Out                                      39         16004978,11,2223
   2224    Bebe Rexha     Bad Bitch                                     56         15992768,7,2224
   2225    Mooski         Track Star                                    62         15985906,11,2225
   2226    Chase Rice     Eyes On You                                   74         15970334,10,2226
   2227    Future         Hard Work Pays Off                            42         15965166,11,2227
   2228    Nio Garcia     La Jeepeta  Remix                             69         15964903,9,2228
   2229    XXXTENTACION   going down!                                   41         15959001,11,2229
   2230    Taylor Swift   mad woman                                     30         15954419,10,2230
   2231    Taylor Swift   Paper Rings                                   32         15952674,11,2231
   2232    G              Eazy  Order More                              111        15951425,8,2232
   2233    Felix Jaehn    Ain't Nobody (Loves Me Better)                139        15915316,11,2233
   2234    Stanaj         Romantic  NOTD Remix                          67         15914362,10,2234
   2235    Kendrick Lamar Count Me Out                                  26         15913311,11,2235
   2236    Logic          Black SpiderMan                               54         15908177,9,2236
   2237    DaBaby         JUMP                                          58         15896771,11,2237
   2238    Sueco          Paralyzed                                     50         15882575,10,2238
   2239    Selena Gomez   Baila Conmigo                                 57         15870871,11,2239
   2240    Lady Gaga      Sour Candy                                    37         15865453,5,2240
   2241    Tame Impala    Eventually                                    65         15861122,11,2241
   2242    LANY           Super Far                                     81         15855923,10,2242
   2243    Drake          Finesse                                       28         15853135,11,2243
   2244    XXXTENTACION   Sauce!                                        44         15852621,9,2244
   2245    Aaron Carter   Sooner Or Later                               64         15831038,11,2245
   2246    Gunna          Speed It Up                                   54         15829381,10,2246
   2247    Katy Perry     Swish Swish                                   52         15818560,11,2247
   2248    NLE Choppa     Jumpin                                        59         15816243,8,2248
   2249    Future         Mask Off  Remix                               49         15809427,11,2249
   2250    Summer Walker  Come Thru                                     58         15800752,10,2250
   2251    OneRepublic    Start Again                                   46         15763139,11,2251
   2252    Bad Bunny      La Santa                                      38         15731522,9,2252
   2253    Florida Georgia LineTalk You Out Of It                            69         15728344,11,2253
   2254    Jaden          Icon                                          72         15725412,10,2254
   2255    Drake          I'm The Plug                                  108        15719497,11,2255
   2256    Peach Tree RascalsMariposa                                      63         15708841,7,2256
   2257    DaBaby         RAW SHIT                                      49         15708545,11,2257
   2258    Lauv           Feelings                                      57         15707793,10,2258
   2259    Bad Bunny      Enséñame a Bailar                           42         15694504,11,2259
   2260    Dierks Bentley Different For Girls                           115        15686415,9,2260
   2261    A$AP Mob       Crazy Brazy                                   92         15670415,11,2261
   2262    Pitbull        Fun                                           100        15632434,10,2262
   2263    Ellie Goulding Sixteen                                       53         15630546,11,2263
   2264    BTS            FAKE LOVE                                     42         15600011,8,2264
   2265    Metro Boomin   Raindrops (Insane) [with Travis Scott]        25         15581236,11,2265
   2266    Ashnikko       Slumber Party                                 64         15570909,10,2266
   2267    Dua Lipa       Kiss and Make Up                              44         15562996,11,2267
   2268    Calvin Harris  Giant                                         45         15557763,9,2268
   2269    Lorde          Solar Power                                   38         15557631,11,2269
   2270    Jon Pardi      Dirt On My Boots                              87         15537030,10,2270
   2271    5 Seconds of SummerShe's Kinda Hot                               98         15531496,11,2271
   2272    Becky G        Sin Pijama                                    57         15472801,6,2272
   2273    Metro Boomin   Umbrella                                      25         15469849,11,2273
   2274    Eminem         Mockingbird                                   51         15464258,10,2274
   2275    Chance the RapperAll We Got                                    96         15459359,11,2275
   2276    Mumford & Sons Believe                                       120        15434234,9,2276
   2277    Juice WRLD     In My Head                                    34         15412318,11,2277
   2278    Sabrina CarpenterThumbs                                        74         15396509,10,2278
   2279    Jax            Victoria’s Secret                           56         15396496,11,2279
   2280    City Girls     Pussy Talk                                    67         15386444,8,2280
   2281    Taylor Swift   Nothing New                                   27         15363730,11,2281
   2282    Jonas Blue     By Your Side                                  78         15359081,10,2282
   2283    Yahritza Y Su EsenciaSoy El Unico                                  43         15287635,11,2283
   2284    Calvin Harris  Potion                                        41         15286502,9,2284
   2285    Troye Sivan    My My My!                                     45         15264902,11,2285
   2286    Machine Gun Kellybloody valentine                              57         15247380,10,2286
   2287    XXXTENTACION   Depression & Obsession                        47         15246543,11,2287
   2288    Khalid         Eleven                                        35         15219566,7,2288
   2289    Macklemore & Ryan LewisCan't Hold Us                                 182        15194778,11,2289
   2290    MiC LOWRY      Oh Lord                                       86         15186329,10,2290
   2291    Morgan Wallen  Livin’ The Dream                            49         15159086,11,2291
   2292    Stephanie BeatrizAll Of You                                    53         15143750,9,2292
   2293    J. Cole        Window Pain  Outro                            28         15113369,11,2293
   2294    bbno$          edamame                                       65         15109159,10,2294
   2295    Zach Bryan     Heading South                                 57         15109094,11,2295
   2296    Ed Sheeran     Sing                                          171        15098112,8,2296
   2297    Sam Smith      Lay Me Down                                   163        15097116,11,2297
   2298    Lil Wayne      What About Me                                 21         15073744,10,2298
   2299    Ivan Cornejo   La Curiosidad                                 59         15064951,11,2299
   2300    Tory Lanez     FeRRis WhEEL                                  61         15050494,9,2300
   2301    Bad Bunny      Me Fui de Vacaciones                          40         15038728,11,2301
   2302    The Weeknd     All I Know                                    58         15034988,10,2302
   2303    Lil Dicky      Earth                                         40         15034362,11,2303
   2304    Jon Pardi      Head Over Boots                               112        15019454,3,2304
   2305    Lukas Graham   Mama Said                                     62         15015570,11,2305
   2306    SZA            SOS                                           19         14996085,10,2306
   2307    Ava Max        My Head & My Heart                            65         14993222,11,2307
   2308    Drake          7am On Bridle Path                            23         14990822,9,2308
   2309    Bad Bunny      Amorfoda                                      54         14954773,11,2309
   2310    Nicky Jam      Te Robaré                                    68         14952627,10,2310
   2311    Lil Yachty     Oprah's Bank Account (Lil Yachty & DaBaby feat. Drake)56         14945575,11,2311
   2312    Kanye West     All Falls Down                                60         14937741,8,2312
   2313    Freddie Dredd  Limbo                                         44         14923501,11,2313
   2314    Future         Draco                                         56         14911894,10,2314
   2315    Louis ArmstrongCool Yule                                     41         14891305,11,2315
   2316    Yeat           Poppin                                        59         14890571,9,2316
   2317    Little Mix     Touch                                         61         14881773,11,2317
   2318    NAV            Price On My Head                              48         14876620,10,2318
   2319    Adam Lambert   Ghost Town                                    122        14862975,11,2319
   2320    DVBBS          Not Going Home                                65         14857892,7,2320
   2321    Travis Scott   NC17                                          32         14850689,11,2321
   2322    Vice           Obsession                                     63         14837496,10,2322
   2323    Taylor Swift   I Think He Knows                              31         14826032,11,2323
   2324    Loren Allred   Never Enough                                  58         14813245,9,2324
   2325    J. Cole        She's Mine Pt. 1                              39         14810711,11,2325
   2326    Kanye West     Closed On Sunday                              23         14809643,10,2326
   2327    XXXTENTACION   I Don't Wanna Do This Anymore                 61         14807142,11,2327
   2328    Nick Jonas     Chains                                        128        14804361,8,2328
   2329    Drake          Jumbotron Shit Poppin                         25         14800695,11,2329
   2330    Wiz Khalifa    Pull Up                                       101        14774165,10,2330
   2331    Black Eyed PeasGIRL LIKE ME                                  67         14746377,11,2331
   2332    Chris Brown    Back To Sleep                                 100        14737284,9,2332
   2333    Gunna          COOLER THAN A BITCH                           48         14725493,11,2333
   2334    Lil Baby       In A Minute                                   52         14709917,10,2334
   2335    Ziv Zaifman    A Million Dreams                              57         14702025,11,2335
   2336    Travis Scott   WHO? WHAT!                                    33         14700828,6,2336
   2337    Brent Faiyaz   Trust                                         56         14700649,11,2337
   2338    Maroon 5       This Summer                                   84         14676606,10,2338
   2339    Sean Paul      Mad Love                                      53         14650397,11,2339
   2340    Isaiah FirebraceIt's Gotta Be You                             72         14648699,9,2340
   2341    Chris Lane     Take Back Home Girl (Feat. Tori Kelly)        66         14648256,11,2341
   2342    Kanye West     Violent Crimes                                27         14645627,10,2342
   2343    Elvis Presley  Here Comes Santa Claus (Right Down Santa Claus Lane)37         14637973,11,2343
   2344    Lil Skies      I Know You                                    59         14626679,8,2344
   2345    Beyoncé       Drunk in Love                                 186        14617225,11,2345
   2346    SZA            Special                                       19         14613168,10,2346
   2347    Stunna 4 Vegas Up The Smoke                                  58         14610811,11,2347
   2348    Kanye West     Believe What I Say                            24         14576420,9,2348
   2349    Logic          Contra                                        29         14564562,11,2349
   2350    Bebe Rexha     No Broken Hearts                              71         14553944,10,2350
   2351    The Game       Eazy                                          34         14532976,11,2351
   2352    Rita Ora       Let You Love Me                               52         14518539,7,2352
   2353    Juice WRLD     I Want It                                     29         14518462,11,2353
   2354    Avicii         Heaven                                        36         14510515,10,2354
   2355    Vedo           You Got It                                    53         14510021,11,2355
   2356    Cheat Codes    Feels Great                                   57         14509537,9,2356
   2357    Playboi Carti  @ MEH                                         29         14485990,11,2357
   2358    Future         Patek Water                                   46         14474706,10,2358
   2359    Panic! At The DiscoVictorious                                    107        14454104,11,2359
   2360    Iggy Azalea    Beg For It                                    119        14443301,8,2360
   2361    Post Malone    I Know                                        31         14420097,11,2361
   2362    Morgan Wallen  Dangerous                                     48         14410601,10,2362
   2363    Taylor Swift   happiness                                     26         14385968,11,2363
   2364    PARTYNEXTDOOR  Not Nice                                      100        14363266,9,2364
   2365    MØ            Nights With You                               59         14356435,11,2365
   2366    J. Cole        For Whom The Bell Tolls                       34         14337420,10,2366
   2367    Cardi B        Best Life                                     35         14332225,11,2367
   2368    Morgan Wallen  Warning                                       42         14303234,5,2368
   2369    DaBaby         Lonely                                        46         14297746,11,2369
   2370    The Weeknd     Privilege                                     28         14248966,10,2370
   2371    Nause          Dynamite                                      78         14248284,11,2371
   2372    Taylor Swift   I Bet You Think About Me                      27         14247743,9,2372
   2373    AlunaGeorge    You Know You Like It  DJ Snake Remix          44         14242669,11,2373
   2374    Kanye West     On God                                        20         14239082,10,2374
   2375    Lil Uzi Vert   Bean (Kobe)                                   35         14238015,11,2375
   2376    Dan + Shay     From the Ground Up                            108        14230227,8,2376
   2377    Bad Bunny      Un Verano Sin Ti                              38         14220465,11,2377
   2378    Camila Cabello Havana  Remix                                 49         14218798,10,2378
   2379    J. Cole        a p p l y i n g . p r e s s u r e             21         14200416,11,2379
   2380    Little Big TownGirl Crush                                    126        14192476,9,2380
   2381    Taylor Swift   ivy                                           27         14173743,11,2381
   2382    Joyner Lucas   Your Heart                                    40         14155248,10,2382
   2383    DJ Khaled      Wish Wish                                     42         14154938,11,2383
   2384    DJ Snake       A Different Way                               59         14153138,7,2384
   2385    Lil Baby       California Breeze                             37         14145607,11,2385
   2386    Disclosure     Omen                                          87         14112881,10,2386
   2387    Diplo          Lonely                                        48         14111633,11,2387
   2388    Ed Sheeran     New Man                                       35         14105169,9,2388
   2389    Labrinth       I'm Tired                                     35         14089005,11,2389
   2390    Drake          Peak                                          22         14087664,10,2390
   2391    Taylor Swift   Red (Taylor's Version)                        20         14055407,11,2391
   2392    A Boogie Wit da HoodieSay A'                                        56         14029320,8,2392
   2393    PARTYNEXTDOOR  Loyal                                         40         14020030,11,2393
   2394    Fall Out Boy   Irresistible                                  86         14019836,10,2394
   2395    iann dior      gone girl                                     54         14008972,11,2395
   2396    Dan + Shay     All To Myself                                 62         14007330,9,2396
   2397    Drake          Is There More                                 21         13991386,11,2397
   2398    Drake          Can't Have Everything                         32         13976765,10,2398
   2399    Rihanna        Desperado                                     97         13962759,11,2399
   2400    Travis Scott   HOUSTONFORNICATION                            34         13955682,6,2400
   2401    Avicii         The Nights                                    142        13947934,11,2401
   2402    J. Cole        Ville Mentality                               35         13938894,10,2402
   2403    Ariana Grande  off the table                                 30         13937245,11,2403
   2404    J. Cole        1 0 0 . m i l ‘                             21         13936818,9,2404
   2405    Drake          More M’s                                    25         13933151,11,2405
   2406    Demi Lovato    Met Him Last Night                            35         13932117,10,2406
   2407    Baby Keem      trademark usa                                 56         13912437,11,2407
   2408    Ariana Grande  just like magic                               31         13907566,8,2408
   2409    Kid Cudi       Day 'N' Nite (Nightmare)                      61         13893681,11,2409
   2410    Charlie Puth   Done for Me                                   56         13886260,10,2410
   2411    Møme          Aloha                                         101        13880878,11,2411
   2412    Eminem         Normal                                        28         13869033,9,2412
   2413    Anuel AA       Hasta Que Dios Diga                           45         13851610,11,2413
   2414    Taylor Swift   All Too Well (Taylor's Version)               21         13844058,10,2414
   2415    Sabrina CarpenterWhy                                           67         13836330,11,2415
   2416    Belly          Might Not                                     108        13796449,7,2416
   2417    Arcángel      La Jumpa                                      27         13778260,11,2417
   2418    Kehlani        Gangsta                                       73         13765705,10,2418
   2419    DaBaby         PICK UP                                       44         13759452,11,2419
   2420    Taylor Swift   epiphany                                      26         13738125,9,2420
   2421    Lil Skies      No Rest                                       53         13732592,11,2421
   2422    J. Cole        l e t . g o . m y . h a n d                   21         13724909,10,2422
   2423    DJ Khaled      Top Off                                       45         13717753,11,2423
   2424    Polo G         Distraction                                   43         13716417,8,2424
   2425    JVKE           this is what falling in love feels like       58         13696202,11,2425
   2426    siouxxie sixxstamasquerade                                    53         13691754,10,2426
   2427    Doja Cat       Candy                                         46         13689297,11,2427
   2428    Taylor Swift   Miss Americana & The Heartbreak Prince        28         13685500,9,2428
   2429    Taylor Swift   peace                                         26         13677337,11,2429
   2430    Post Malone    I'm Gonna Be                                  39         13674342,10,2430
   2431    Kendrick Lamar The Heart Part 4                              30         13661289,11,2431
   2432    Tim McGraw     Humble And Kind                               112        13655428,4,2432
   2433    Lil Uzi Vert   444+222                                       43         13644506,11,2433
   2434    Gucci Mane     Back On Road                                  75         13632326,10,2434
   2435    Parker McCollumPretty Heart                                  59         13624667,11,2435
   2436    Kendrick Lamar Savior                                        21         13624131,9,2436
   2437    Sam Smith      Money On My Mind                              159        13621005,11,2437
   2438    Lil Baby       Out The Mud                                   42         13601821,10,2438
   2439    Drake          Race My Mind                                  22         13599000,11,2439
   2440    Gucci Mane     Tone it Down                                  72         13594677,8,2440
   2441    Liam Payne     Familiar                                      52         13591467,11,2441
   2442    P!nk           "Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")"89         13578152,10,2442
   2443    City Girls     Twerk                                         53         13571282,11,2443
   2444    Drake          Treacherous Twins                             20         13565098,9,2444
   2445    Demi Lovato    I Love Me                                     35         13558675,11,2445
   2446    J. Cole        4 Your Eyez Only                              38         13552561,10,2446
   2447    One Direction  History                                       89         13552345,11,2447
   2448    Galantis       Heartbreak Anthem                             60         13529773,7,2448
   2449    Joji           Run                                           32         13528538,11,2449
   2450    Shawn Mendes   When You're Gone                              36         13466685,10,2450
   2451    Luke Bryan     Knockin' Boots                                59         13458141,11,2451
   2452    Logic          Midnight                                      35         13440288,9,2452
   2453    Tyler Childers Feathered Indians                             53         13416178,11,2453
   2454    Maroon 5       Nobody's Love                                 42         13415953,10,2454
   2455    FLETCHER       Undrunk                                       44         13403304,11,2455
   2456    Billie Eilish  Bored                                         52         13383835,8,2456
   2457    Ray Parker Jr. Ghostbusters                                  30         13381261,11,2457
   2458    A$AP Rocky     Babushka Boi                                  37         13380316,10,2458
   2459    Ed Sheeran     What Do I Know?                               35         13367658,11,2459
   2460    A$AP Mob       RAF                                           69         13362506,9,2460
   2461    Lil Uzi Vert   Yessirskiii                                   35         13327286,11,2461
   2462    Post Malone    Jonestown (Interlude)                         28         13325158,10,2462
   2463    Ozuna          Se Preparó                                   69         13312784,11,2463
   2464    Future         Patek                                         48         13307573,6,2464
   2465    The Weeknd     Attention                                     53         13290074,11,2465
   2466    Brent Faiyaz   Gravity                                       49         13289954,10,2466
   2467    Rod Wave       Tombstone                                     38         13281240,11,2467
   2468    Huncho Jack    Dubai Shit                                    41         13276729,9,2468
   2469    PinkPantheress Just for me                                   50         13262025,11,2469
   2470    DJ Khaled      Just Us                                       35         13255709,10,2470
   2471    Lauv           There's No Way                                49         13210222,11,2471
   2472    SZA            Power is Power                                34         13198889,8,2472
   2473    Kanye West     Wouldn't Leave                                21         13196382,11,2473
   2474    Alesso         REMEDY                                        43         13194535,10,2474
   2475    Nick Jonas     Levels                                        89         13190448,11,2475
   2476    Drake          Forever                                       184        13186754,9,2476
   2477    Luke Bryan     One Margarita                                 55         13184427,11,2477
   2478    XXXTENTACION   I don’t even speak spanish lol              39         13164180,10,2478
   2479    Post Malone    Internet                                      28         13139202,11,2479
   2480    Chance the RapperI Might Need Security                         32         13106160,7,2480
   2481    Kanye West     Selah                                         19         13100422,11,2481
   2482    Drake          Middle of the Ocean                           19         13077181,10,2482
   2483    Metro Boomin   On Time                                       23         13067947,11,2483
   2484    Lil Uzi Vert   I'm Sorry                                     21         13057882,9,2484
   2485    Jason Aldean   Burnin' It Down                               86         13053725,11,2485
